Date,High,Low,Open,Volume,Close
2011-07-13,46254.19922,43928,44285.89844,798248,41383.57031
2011-07-14,46612,45359.5,45717.39844,702601,41866.65234
2011-07-15,47506.69922,46254.19922,46433.10156,628256,42269.18359
2011-07-18,47864.60156,46612,47327.80078,580869,42027.64063
2011-07-19,48580.30078,46612,46612,1232820,43074.33984
2011-07-20,49206.60156,47148.80078,48669.80078,985158,42993.79688
2011-07-21,48759.19922,47685.60156,48133,421276,43074.33984
2011-07-22,49117.10156,48043.5,48311.89844,541526,43879.40625
2011-07-25,48759.19922,47506.69922,48222.39844,309444,43154.78906
2011-07-26,48490.80078,46880.39844,47864.60156,586141,42591.26172
2011-07-27,47506.69922,46164.69922,46969.89844,721111,41947.10156
2011-07-28,47238.30078,45538.39844,45538.39844,467913,42027.64063
2011-07-29,47596.19922,46254.19922,47327.80078,268769,41625.10938
2011-08-01,47864.60156,46880.39844,46969.89844,304313,42832.79688
2011-08-02,47417.19922,44420.10156,47148.80078,1074121,40055.11328
2011-08-03,44017.5,43078.10156,43704.39844,586773,39048.63281
2011-08-04,44017.5,41601.89844,43928,683606,37599.40234
2011-08-05,40707.19922,38560.10156,39007.39844,825893,35586.64453
2011-08-08,39633.69922,35339.30078,38470.60156,960455,33453.01953
2011-08-09,36726,32744.69922,35786.60156,1048156,33050.48828
2011-08-10,38470.60156,35876.10156,38381.10156,904351,32647.94727
2011-08-11,36681.30078,33997.30078,33997.30078,623753,32889.49219
2011-08-12,38381.10156,36502.30078,37441.69922,706086,33090.71094
2011-08-16,38291.69922,37620.69922,37844.30078,436476,33936.09766
2011-08-17,38291.69922,37352.30078,37397,386145,33895.86719
2011-08-18,37844.30078,35607.69922,37754.89844,871311,32527.17578
2011-08-19,34623.5,30776.5,34534.10156,1512854,28783.33008
2011-08-22,32118.5,29523.90039,31760.59961,1474447,26569.16602
2011-08-23,31894.80078,29434.5,29792.30078,1027698,28139.16797
2011-08-24,32789.5,31000.09961,32118.5,950042,28662.56055
2011-08-25,32923.69922,31850.09961,32655.30078,451956,28662.56055
2011-08-26,34086.69922,32207.90039,32386.90039,902149,30474.10352
2011-08-29,35786.60156,34086.69922,34534.10156,894706,31722.02734
2011-08-30,36010.30078,35205.10156,35741.89844,505925,31842.78711
2011-08-31,35920.80078,34668.30078,35518.19922,376873,32325.86914
2011-09-01,37307.5,35518.19922,35876.10156,904498,32647.94727
2011-09-02,37128.60156,35607.69922,36323.39844,427670,33010.25781
2011-09-05,35786.60156,33863.10156,35428.69922,617433,30755.86719
2011-09-06,33997.30078,32431.59961,32878.89844,549856,29628.7168
